FID,serial_num,lat,lon,major_road_01,major_road_005,res_road_01,res_road_005,stove_conc_01,stove_conc_005,PathDis_ci,ub_pop_2019_1km,dist_to_trunk_rd,stove_kernel_density_radius_01,stove_kernel_density_radius_007,ub_topogra,pop_change,district
0,HMA6KRK,47.924417,106.865684,250.8670044,182.8609924,1427.72998,1266.410034,67,154,35.61240005,5442.640137,0.009999999776,11275900,11212600,1346.140015,2.579999924,6
1,KT4KJ47,47.915527,106.893736,659.3280029,702.8070068,612.6170044,528.8599854,477,38,2.189019918,3296.669922,0,3757430,3672600,1299.030029,2.579999924,6
2,LUAKYUG,47.91212,106.953814,449.6889954,331.3529968,512.5549927,796.3690186,90,82,21.9769001,2202.810059,0.004999999888,4276160,4741820,1289,3.329999924,5
3,HGSSMAW,47.953734,106.943219,47.77959824,18.72260094,1461.640015,1084.76001,1154,53,71.05919647,1303.51001,0.03500000015,3206990,2567890,1357.550049,3.329999924,5
4,Y7KL6KJ,47.925953,106.987388,116.1549988,116.1549988,1012.700012,937.414978,956,59,100.4889984,1855.72998,0.01414209977,4441880,3374750,1356.25,3.329999924,5
5,MUPH4JJ,47.939127,106.931421,251.0610046,145.5740051,1496.119995,1496.119995,1026,360,18.69449997,2114.659912,0.01999999955,10154200,11893500,1300.76001,3.329999924,5
6,TTVPJAP,47.933672,106.935634,201.6640015,238.8959961,933.5720215,1195.199951,598,245,15.53209972,2206.719971,0.01499999966,9445240,10016000,1329.109985,3.329999924,5
7,MHPP97G,47.922891,106.939619,498.6019897,498.6019897,676.4699707,810.2650146,27,7,7.427120209,2194.080078,0.004999999888,293306,147887,1322.089966,3.329999924,5
8,TMSSCRY,47.935863,107.006293,65.56240082,61.59230042,957.6690063,1294.040039,552,333,148.1100006,1500.709961,0.02549510077,11810200,13634400,1369.22998,3.329999924,5
9,TVUM769,47.942936,106.919059,155.151001,155.151001,1582.219971,1635.339966,1169,423,19.37210083,2105.840088,0.02500000037,10969100,12037800,1313.199951,0.7149999738,1
10,PCMSTGG,47.968355,106.929907,59.1310997,105.572998,1222.329956,1222.329956,761,193,81.790802,1744.349976,0.05000000075,6214980,6828080,1332.680054,0.7149999738,1
11,RR9M4V9,47.929507,106.913833,660.1430054,565.4559937,1111.390015,912.0050049,463,37,0,2199.469971,0.009999999776,2624200,1800170,1306,0.7149999738,1
12,7zxpmnr6,47.914649,106.91701,714.3900146,714.3900146,316.1849976,269.1619873,7,2,0,2133.580078,0,436055,554850,1301,0.7149999738,1
13,KW6XH4J,47.937128,106.793034,58.59889984,59.39590073,1042.900024,912.1409912,268,109,200.1499939,1917.209961,0.02999999933,5332750,5535010,1353.040039,3.039999962,2
14,CUVCV9Y,47.922826,106.794645,113.9280014,102.1480026,1023.47998,1555.170044,996,108,184.9530029,3300.429932,0.01499999966,5948090,6320700,1299.060059,3.039999962,2
15,GCWJPX9,47.932849,106.817432,129.9929962,171.8760071,1629.790039,1609.069946,1160,368,142.1300049,3067.72998,0.01999999955,12016900,13476800,1288.310059,3.039999962,2
16,CVWU6VT,47.953246,106.826962,123.0879974,123.0879974,1395.819946,1690.52002,638,148,155.5980072,2727.659912,0.03999999911,12138700,13290300,1356.800049,3.039999962,2
17,SMCAMHK,47.957138,106.836971,84.32279968,84.32279968,1919.699951,1919.699951,870,187,140.3639984,2809.919922,0.04500000179,8879220,8623040,1389.390015,3.039999962,2
18,SLSVLW4,47.915199,106.846345,260.1730042,202.3869934,1140.380005,749.4780273,1024,80,74.26830292,5685.140137,0.004999999888,5133940,4241970,1279.969971,3.039999962,2
19,GJCXCYS,47.857916,106.770765,122.6809998,120.3909988,1111.160034,1111.160034,712,154,376.553009,768.7520142,0.01499999966,3090700,3297420,1304.079956,6.079999924,3
20,WHSSK9M,47.866314,106.803913,108.9000015,113.0599976,1085.949951,990.1459961,1812,680,278.4809875,694.0540161,0.004999999888,15235700,18423400,1286.709961,6.079999924,3
21,JAHP4HS,47.885564,106.91161,188.0050049,159.7230072,482.57901,556.065979,14,78,34.15999985,723.7219849,0.009999999776,1113960,1275910,1296.349976,6.079999924,3
22,PTM4JAM,47.936933,106.905946,402.9769897,308.9710083,1724.790039,1655.430054,1156,333,10.83899975,2049.26001,0.01999999955,13484600,14167000,1326.959961,0.8119999766,4